English Phrase		English Phrase ID	Portuguese Google Translation	Portuguese Suggested Translation		Portuguese Suggested Translation ID	Hindi Google 1	Hindi Google 1 ID		Hindi Google 2	Hindi Google 2 ID	Hindi Google 2 ID	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6	Insert 1	Insert 2	Insert 3	Insert 4	Insert 5	Insert 6
I have lost my passport.	I have lost my passport	1	Eu perdi meu passaporte.	Eu perdi meu passaporte.	Eu perdi meu passaporte	2	????? ???? ???????? ?? ???? ???	????? ???? ???????? ?? ???? ??	3	mainne apana paasaport kho diya hai.	mainne apana paasaport kho diya hai	4	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,3);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(1,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,3);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,4);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(2,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,1);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(3,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,2);"	"INSERT INTO `masters`.`Translations`(`sentence_id_1`,`sentence_id_2`)VALUES(4,3);"
Someone stole my money. 	Someone stole my money	5	Alguém roubou meu dinheiro.	Alguém roubou meu dinheiro.	Alguém roubou meu dinheiro	6	???? ?? ???? ???? ???? ?????	???? ?? ???? ???? ???? ????	7	kisee ne mera paisa chura liya.	kisee ne mera paisa chura liya	8												
Help!	Help	9	Socorro!	Socorro!	Socorro	10	???!	???	11	madad!	madad	12												
May I have the bill?	May I have the bill	13	Pode trazer a conta?	Pode trazer a conta?	Pode trazer a conta	14	???? ???? ??? ??? ???? ???	???? ???? ??? ??? ???? ??	15	kya mujhe bil mil sakata hai?	kya mujhe bil mil sakata hai	16												
I would like dessert. 	I would like dessert	17	Eu gostaria de sobremesa.	Eu gostaria de sobremesa.	Eu gostaria de sobremesa	18	??? ????? ????????	??? ????? ???????	19	main mithaee chaahoonga.	main mithaee chaahoonga	20												
I'll have an appetizer.	I'll have an appetizer	797	Eu terei um aperitivo.	Eu terei um aperitivo.	Eu terei um aperitivo	798	???? ??? ?? ??????????? ???  	???? ??? ?? ??????????? ??	799	mere paas ek kshudhaavardhak hai.	mere paas ek kshudhaavardhak hai	800												
I would like to order.	I would like to order	21	Eu gostaria de pedir.	Eu gostaria de pedir.	Eu gostaria de pedir	22	??? ?????? ???? ????? ????	??? ?????? ???? ????? ???	23	main pharamaish karana chaahata hoon.	main pharamaish karana chaahata hoon	24												
May I see a menu?	May I see a menu	25	Posso ver um menu?	Posso ver um menu?	Posso ver um menu	26	???? ???? ?? ???? ????? ?? ??? ???	???? ???? ?? ???? ????? ?? ??? ??	27	kya mujhe ek menoo dikhaee de raha hai?	kya mujhe ek menoo dikhaee de raha hai	28												
I would like a drink.	I would like a drink	29	Quero uma bebida.	Quero uma bebida.	Quero uma bebida	30	???? ?????? ??????	???? ?????? ?????	31	mujhe drink chaahie.	mujhe drink chaahie	32												
I would like some water.	I would like some water	33	Eu gostaria de um pouco de água.	Eu gostaria de um pouco de água.	Eu gostaria de um pouco de água	34	???? ???? ???? ????????	???? ???? ???? ???????	35	thoda paanee peena chaahoonga.	thoda paanee peena chaahoonga	36												
A table for two.	A table for two	37	Uma mesa para dois.	Uma mesa para dois.	Uma mesa para dois	38	?? ?? ??? ?? ????	?? ?? ??? ?? ???	39	do ke lie ek mej.	do ke lie ek mej	40												
