"translation_id";"sentence_id_1";"sentence_id_2"
1;1;2
2;1;3
3;1;4
4;2;3
5;2;4
6;3;4
7;2;1
8;3;1
9;4;1
10;3;2
11;4;2
12;4;3
13;5;6
14;5;7
15;5;8
16;6;7
17;6;8
18;7;8
19;6;5
20;7;5
21;8;5
22;7;6
23;8;6
24;8;7
25;9;10
26;9;11
27;9;12
28;10;11
29;10;12
30;11;12
31;10;9
32;11;9
33;12;9
34;11;10
35;12;10
36;12;11
37;13;14
38;13;15
39;13;16
40;14;15
41;14;16
42;15;16
43;14;13
44;15;13
45;16;13
46;15;14
47;16;14
48;16;15
49;17;18
50;17;19
51;17;20
52;18;19
53;18;20
54;19;20
55;18;17
56;19;17
57;20;17
58;19;18
59;20;18
60;20;19
61;797;798
62;797;799
63;797;800
64;798;799
65;798;800
66;799;800
67;798;797
68;799;797
69;800;797
70;799;798
71;800;798
72;800;799
73;21;22
74;21;23
75;21;24
76;22;23
77;22;24
78;23;24
79;22;21
80;23;21
81;24;21
82;23;22
83;24;22
84;24;23
85;25;26
86;25;27
87;25;28
88;26;27
89;26;28
90;27;28
91;26;25
92;27;25
93;28;25
94;27;26
95;28;26
96;28;27
97;29;30
98;29;31
99;29;32
100;30;31
101;30;32
102;31;32
103;30;29
104;31;29
105;32;29
106;31;30
107;32;30
108;32;31
109;33;34
110;33;35
111;33;36
112;34;35
113;34;36
114;35;36
115;34;33
116;35;33
117;36;33
118;35;34
119;36;34
120;36;35
121;37;38
122;37;39
123;37;40
124;38;39
125;38;40
126;39;40
127;38;37
128;39;37
129;40;37
130;39;38
131;40;38
132;40;39
133;41;42
134;41;43
135;41;44
136;42;43
137;42;44
138;43;44
139;42;41
140;43;41
141;44;41
142;43;42
143;44;42
144;44;43
145;45;46
146;45;47
147;45;48
148;46;47
149;46;48
150;47;48
151;46;45
152;47;45
153;48;45
154;47;46
155;48;46
156;48;47
157;49;50
158;49;51
159;49;52
160;50;51
161;50;52
162;51;52
163;50;49
164;51;49
165;52;49
166;51;50
167;52;50
168;52;51
169;53;54
170;53;55
171;53;56
172;54;55
173;54;56
174;55;56
175;54;53
176;55;53
177;56;53
178;55;54
179;56;54
180;56;55
181;57;58
182;57;59
183;57;60
184;58;59
185;58;60
186;59;60
187;58;57
188;59;57
189;60;57
190;59;58
191;60;58
192;60;59
193;61;62
194;61;63
195;61;64
196;62;63
197;62;64
198;63;64
199;62;61
200;63;61
201;64;61
202;63;62
203;64;62
204;64;63
205;65;66
206;65;67
207;65;68
208;66;67
209;66;68
210;67;68
211;66;65
212;67;65
213;68;65
214;67;66
215;68;66
216;68;67
217;69;70
218;69;71
219;69;72
220;70;71
221;70;72
222;71;72
223;70;69
224;71;69
225;72;69
226;71;70
227;72;70
228;72;71
229;73;74
230;73;75
231;73;76
232;74;75
233;74;76
234;75;76
235;74;73
236;75;73
237;76;73
238;75;74
239;76;74
240;76;75
241;77;78
242;77;79
243;77;80
244;78;79
245;78;80
246;79;80
247;78;77
248;79;77
249;80;77
250;79;78
251;80;78
252;80;79
253;81;82
254;81;83
255;81;84
256;82;83
257;82;84
258;83;84
259;82;81
260;83;81
261;84;81
262;83;82
263;84;82
264;84;83
265;85;86
266;85;87
267;85;88
268;86;87
269;86;88
270;87;88
271;86;85
272;87;85
273;88;85
274;87;86
275;88;86
276;88;87
277;89;90
278;89;91
279;89;92
280;90;91
281;90;92
282;91;92
283;90;89
284;91;89
285;92;89
286;91;90
287;92;90
288;92;91
289;93;94
290;93;95
291;93;96
292;94;95
293;94;96
294;95;96
295;94;93
296;95;93
297;96;93
298;95;94
299;96;94
300;96;95
301;97;98
302;97;99
303;97;100
304;98;99
305;98;100
306;99;100
307;98;97
308;99;97
309;100;97
310;99;98
311;100;98
312;100;99
313;101;102
314;101;103
315;101;104
316;102;103
317;102;104
318;103;104
319;102;101
320;103;101
321;104;101
322;103;102
323;104;102
324;104;103
325;105;106
326;105;107
327;105;108
328;106;107
329;106;108
330;107;108
331;106;105
332;107;105
333;108;105
334;107;106
335;108;106
336;108;107
337;109;110
338;109;111
339;109;112
340;110;111
341;110;112
342;111;112
343;110;109
344;111;109
345;112;109
346;111;110
347;112;110
348;112;111
349;113;114
350;113;115
351;113;116
352;114;115
353;114;116
354;115;116
355;114;113
356;115;113
357;116;113
358;115;114
359;116;114
360;116;115
361;117;118
