ID,EN,PT
0,i have lost my passport,eu perdi meu passaporte
1,someone stole my money,alguem roubou meu dinheiro
2,help,socorro
3,may i have the bill,pode trazer a conta
4,i would like dessert,eu gostaria de sobremesa
5,i would like to order,eu gostaria de pedir
6,may i see a menu,posso ver um menu
7,i would like a drink,quero uma bebida
8,i would like some water,eu gostaria de um pouco de agua
9,a table for two,uma mesa para dois
10,a table for four,uma mesa para quatro
11,how far is it to the airport,a que distancia fica do aeroporto
12,how far is it to the hotel,qual e a distancia para o hotel
13,how do you get to the airport,como voce chega ao aeroporto
14,how do you get to the hotel,como voce chega ao hotel
15,where is the bank,onde e o banco
16,where can i find a restaurant,onde posso encontrar um restaurante
17,where is the hospital,onde fica o hospital
18,where can i find a grocery store,onde posso encontrar uma mercearia
19,how do i call down to the front desk,como faco para ligar para a recepcao
20,how do i call for room service,como faco para ligar para o servico de quarto
21,my room is messy and i would like it cleaned,meu quarto esta baguncado e eu gostaria de limpalo
22,my room needs towels,meu quarto precisa de toalhas
23,is there free breakfast,tem cafe da manha gratis
24,how do i access the internet,como eu acesso a internet
25,where are the elevators,onde estao os elevadores
26,what floor am i on,em que andar estou
27,how many beds are in the room,quantas camas estao no quarto
28,does the room have a bathroom,o quarto tem banheiro
29,i dont understand,eu nao entendo
30,i would like to go to the airport,eu gostaria de ir ao aeroporto
31,i would like to go to the the mall,eu gostaria de ir ao shopping
32,i would like to go to the the hotel,eu gostaria de ir ao hotel
33,i would like to go to work,eu gostaria de ir trabalhar
34,i would like to go eat,eu gostaria de ir comer
35,do you know where this hotel is,voce sabe onde fica este hotel
36,where can i find a taxi,onde posso encontrar um taxi
37,where is the bus stop,onde e o ponto de onibus
38,where is the currency exchange,onde esta a troca de moeda
39,do you have a map,voce tem um mapa
40,i am staying at a hotel,eu estou hospedado em um hotel
41,i am visiting family,eu estou visitando a familia
42,i will be here for a few days,eu estarei aqui por alguns dias
43,i will be here for a week,eu estarei aqui por uma semana
44,i will be here for a few weeks,eu estarei aqui por algumas semanas
45,i am traveling for work,eu estou viajando para o trabalho
46,i am traveling for leisure,eu estou viajando a lazer
47,i have a connecting flight,eu tenho um voo de conexao
48,what time is it,que horas sao
49,may i purchase headphones,posso comprar fones de ouvido
50,may i have something to drink,posso ter algo para beber
51,may i have something to eat,posso comer alguma coisa
52,are meals included,as refeicoes estao incluidas
53,how much does the magazine cost,quanto custa a revista
54,where is the restroom,onde e o banheiro
55,where is my gate,onde esta o meu portao
56,what airline am i flying,qual companhia aerea estou voando
57,what time is my flight,a que horas e o meu voo
58,i would like some food,eu gostaria de um pouco de comida
59,how are you,como voce esta
60,how is it going,como vao as coisas
61,hello,ola
62,hi,oi
63,hey,ei
64,good morning,bom dia
65,good afternoon,boa tarde
66,good evening,boa noite
67,good night,boa noite
68,i love the feeling of fingers running through my hair,eu adoro cafune
69,you hit one out of the park,voce foi otimo
70,you did great,voce foi otimo
71,where is tourist information,onde esta a informacao turistica
72,where can i get my baggage,onde posso obter a minha bagagem
73,i have to catch a connecting flight,eu tenho que pegar um voo de conexao
74,which way is that,qual e o caminho
75,i just missed my connecting flight,eu perdi meu voo de conexao
76,excuse me where is this boarding gate,com licenca onde esta esse portao de embarque
77,can you recommend a hotel,voce pode recomendar um hotel
78,is there a smoking area,existe uma area para fumantes
79,is there a bus to the city,existe um onibus para a cidade
80,where is the taxi stand,onde fica o ponto de taxi
81,could you recommend a hotel in downtown,voce poderia recomendar um hotel no centro da cidade
82,how much does it cost to take a taxi to this address,quanto custa pegar um taxi para esse endereco
83,take me to this address please,leveme ate este endereco por favor
84,hilton hotel please,hotel hilton por favor
85,let me off here,me deixe sair daqui
86,anywhere around here is fine,qualquer lugar por aqui esta bem
87,keep the change,fique com o troco
88,i would like to book a room,eu gostaria de reservar um quarto
89,id like a single room,gostaria de um quarto individual
90,id like to book a double room for nights,eu gostaria de reservar um quarto duplo por noites
